"Date","Sale_In_Local_Currency","Item","Country","Year","Month","Day"
2020-10-15,19,"Mouse","France",2020,10,15
2020-10-15,14,"Keyboard","UK",2020,10,15
2020-10-15,19.9,"UsbCable","UK",2020,10,15
2020-10-15,8,"Mouse","France",2020,10,15
2020-10-15,18.3,"Charger","France",2020,10,15
2020-10-15,4.6,"UsbCable","France",2020,10,15
2020-10-15,5.9,"Charger","France",2020,10,15
2020-10-15,16.1,"Keyboard","UK",2020,10,15
2020-10-15,5.8,"Charger","UK",2020,10,15
2020-10-15,2.4,"UsbCable","UK",2020,10,15
2020-10-15,2.1,"UsbCable","UK",2020,10,15
2020-10-15,19.5,"UsbCable","France",2020,10,15
2020-10-15,4.1,"Charger","UK",2020,10,15
2020-10-15,2,"UsbCable","UK",2020,10,15
2020-10-15,7.7,"Charger","France",2020,10,15
2020-10-15,18.9,"UsbCable","UK",2020,10,15
2020-10-15,8.4,"Mouse","UK",2020,10,15
2020-10-15,7.3,"Mouse","UK",2020,10,15
2020-10-15,4.1,"Keyboard","UK",2020,10,15
2020-10-15,15.6,"Charger","France",2020,10,15
2020-10-15,4,"Mouse","France",2020,10,15
2020-10-15,13.1,"Keyboard","France",2020,10,15
2020-10-15,19.1,"Charger","France",2020,10,15
2020-10-15,4.6,"Charger","UK",2020,10,15
2020-10-15,11.5,"Keyboard","France",2020,10,15
2020-10-15,3.2,"UsbCable","UK",2020,10,15
2020-10-15,10.3,"Mouse","UK",2020,10,15
2020-10-15,11.7,"Keyboard","France",2020,10,15
2020-10-15,2.2,"Charger","UK",2020,10,15
2020-10-15,15.5,"Charger","France",2020,10,15
2020-10-15,8.7,"Mouse","France",2020,10,15
2020-10-15,9.7,"Keyboard","France",2020,10,15
2020-10-15,7.7,"Keyboard","UK",2020,10,15
2020-10-15,7.6,"Mouse","UK",2020,10,15
2020-10-15,2.3,"Keyboard","France",2020,10,15
2020-10-15,2.6,"Charger","France",2020,10,15
2020-10-15,5.4,"Mouse","France",2020,10,15
2020-10-15,7,"Mouse","UK",2020,10,15
2020-10-15,18,"Keyboard","France",2020,10,15
2020-10-15,4.2,"UsbCable","UK",2020,10,15
2020-10-15,7.1,"Mouse","UK",2020,10,15
2020-10-15,12.2,"UsbCable","France",2020,10,15
2020-10-15,9.8,"Keyboard","UK",2020,10,15
2020-10-15,16.6,"Keyboard","France",2020,10,15
2020-10-15,17.4,"Mouse","France",2020,10,15
2020-10-15,15.1,"UsbCable","UK",2020,10,15
2020-10-15,17.7,"UsbCable","UK",2020,10,15
2020-10-15,8.3,"Mouse","France",2020,10,15
2020-10-15,13.4,"Charger","UK",2020,10,15
2020-10-15,16.3,"UsbCable","UK",2020,10,15
2020-10-15,8.7,"Charger","France",2020,10,15
2020-10-15,15.5,"Charger","France",2020,10,15
2020-10-15,11.3,"Keyboard","France",2020,10,15
2020-10-15,10.8,"UsbCable","UK",2020,10,15
2020-10-15,2.6,"Mouse","UK",2020,10,15
2020-10-15,17.8,"Charger","UK",2020,10,15
2020-10-15,20,"Charger","UK",2020,10,15
2020-10-15,5.1,"Keyboard","France",2020,10,15
2020-10-15,4.3,"Keyboard","UK",2020,10,15
2020-10-15,19,"UsbCable","UK",2020,10,15
2020-10-15,6.6,"Keyboard","UK",2020,10,15
2020-10-15,20,"Mouse","France",2020,10,15
2020-10-15,12.6,"Mouse","France",2020,10,15
2020-10-15,8.8,"UsbCable","France",2020,10,15
2020-10-15,2.6,"UsbCable","France",2020,10,15
2020-10-15,14.9,"Charger","UK",2020,10,15
2020-10-15,14.1,"Keyboard","UK",2020,10,15
2020-10-15,6.4,"Keyboard","UK",2020,10,15
2020-10-15,13.3,"Keyboard","France",2020,10,15
2020-10-15,18.7,"Mouse","UK",2020,10,15
2020-10-15,10,"UsbCable","France",2020,10,15
2020-10-15,16,"Charger","UK",2020,10,15
2020-10-15,16.3,"Charger","France",2020,10,15
2020-10-15,4.8,"UsbCable","France",2020,10,15
2020-10-15,18.2,"UsbCable","UK",2020,10,15
2020-10-15,7.4,"Keyboard","UK",2020,10,15
2020-10-15,15.2,"Charger","UK",2020,10,15
2020-10-15,6.3,"Charger","France",2020,10,15
2020-10-15,18.3,"Mouse","France",2020,10,15
2020-10-15,2.4,"Mouse","UK",2020,10,15
2020-10-15,6.1,"Keyboard","France",2020,10,15
2020-10-15,5.9,"Charger","UK",2020,10,15
2020-10-15,6,"Charger","France",2020,10,15
2020-10-15,7.9,"UsbCable","France",2020,10,15
2020-10-15,5,"UsbCable","France",2020,10,15
2020-10-15,14.2,"Keyboard","UK",2020,10,15
2020-10-15,18.2,"Keyboard","France",2020,10,15
2020-10-15,19.5,"Keyboard","UK",2020,10,15
2020-10-15,14,"UsbCable","UK",2020,10,15
2020-10-15,10.8,"UsbCable","France",2020,10,15
2020-10-15,18.7,"Charger","France",2020,10,15
2020-10-15,8.3,"UsbCable","UK",2020,10,15
2020-10-15,18.2,"Charger","France",2020,10,15
2020-10-15,17.9,"Charger","France",2020,10,15
2020-10-15,5.2,"Mouse","France",2020,10,15
2020-10-15,13.5,"UsbCable","UK",2020,10,15
2020-10-15,15.4,"Charger","UK",2020,10,15
2020-10-15,14.8,"Keyboard","France",2020,10,15
2020-10-15,17.4,"Charger","France",2020,10,15
2020-10-15,13.9,"Mouse","UK",2020,10,15
2020-10-15,5.7,"Charger","UK",2020,10,15
2020-10-15,18,"UsbCable","UK",2020,10,15
2020-10-15,5.8,"Charger","UK",2020,10,15
2020-10-15,4,"Charger","UK",2020,10,15
2020-10-15,3.3,"Charger","UK",2020,10,15
2020-10-15,5.9,"UsbCable","France",2020,10,15
2020-10-16,4.9,"Keyboard","France",2020,10,16
2020-10-16,9.7,"Mouse","UK",2020,10,16
2020-10-16,15.4,"UsbCable","UK",2020,10,16
2020-10-16,17,"Charger","France",2020,10,16
2020-10-16,5,"Keyboard","France",2020,10,16
2020-10-16,2.6,"Mouse","France",2020,10,16
2020-10-16,12.1,"Keyboard","France",2020,10,16
2020-10-16,14.4,"Charger","UK",2020,10,16
2020-10-16,17,"Keyboard","UK",2020,10,16
2020-10-16,15.4,"UsbCable","UK",2020,10,16
2020-10-16,10.9,"Keyboard","France",2020,10,16
2020-10-16,14,"Keyboard","France",2020,10,16
2020-10-16,9,"Keyboard","UK",2020,10,16
2020-10-16,18.6,"Mouse","France",2020,10,16
2020-10-16,10.5,"Mouse","UK",2020,10,16
2020-10-16,7.2,"UsbCable","UK",2020,10,16
2020-10-16,18,"Mouse","France",2020,10,16
2020-10-16,10.2,"Charger","UK",2020,10,16
2020-10-16,16.7,"UsbCable","UK",2020,10,16
2020-10-16,19.5,"UsbCable","France",2020,10,16
2020-10-16,6.8,"Charger","France",2020,10,16
2020-10-16,15.6,"Charger","France",2020,10,16
2020-10-16,19,"UsbCable","France",2020,10,16
2020-10-16,20,"Mouse","France",2020,10,16
2020-10-16,9.4,"UsbCable","UK",2020,10,16
2020-10-16,2.3,"Mouse","France",2020,10,16
2020-10-16,12.6,"Mouse","France",2020,10,16
2020-10-16,8.6,"UsbCable","UK",2020,10,16
2020-10-16,8.1,"Mouse","UK",2020,10,16
2020-10-16,6.1,"UsbCable","UK",2020,10,16
2020-10-16,2.6,"UsbCable","France",2020,10,16
2020-10-16,10.2,"Mouse","UK",2020,10,16
2020-10-16,13.5,"UsbCable","France",2020,10,16
2020-10-16,10.4,"Keyboard","UK",2020,10,16
2020-10-16,9.2,"Charger","UK",2020,10,16
2020-10-16,15.9,"Mouse","France",2020,10,16
2020-10-16,17.8,"UsbCable","UK",2020,10,16
2020-10-16,5.7,"UsbCable","UK",2020,10,16
2020-10-16,13.5,"Mouse","France",2020,10,16
2020-10-16,13.4,"Charger","France",2020,10,16
2020-10-16,14.5,"UsbCable","UK",2020,10,16
2020-10-16,19.6,"Mouse","France",2020,10,16
2020-10-16,4.8,"Mouse","France",2020,10,16
2020-10-16,15.8,"Keyboard","France",2020,10,16
2020-10-16,17.5,"Mouse","UK",2020,10,16
2020-10-16,15.6,"Mouse","France",2020,10,16
2020-10-16,13.4,"Mouse","UK",2020,10,16
2020-10-16,6.9,"Keyboard","UK",2020,10,16
2020-10-16,7.3,"Charger","UK",2020,10,16
2020-10-16,14.9,"Charger","UK",2020,10,16
2020-10-16,2.4,"Charger","UK",2020,10,16
2020-10-16,15.7,"Charger","UK",2020,10,16
2020-10-16,2.9,"Keyboard","UK",2020,10,16
2020-10-16,7.5,"Keyboard","France",2020,10,16
2020-10-16,5.6,"Keyboard","UK",2020,10,16
2020-10-16,17.7,"Keyboard","France",2020,10,16
2020-10-16,5.6,"Charger","UK",2020,10,16
2020-10-16,14.8,"Keyboard","UK",2020,10,16
2020-10-16,6.5,"Charger","UK",2020,10,16
2020-10-16,19.4,"Mouse","UK",2020,10,16
2020-10-16,5.4,"Keyboard","UK",2020,10,16
2020-10-16,3.4,"Keyboard","France",2020,10,16
2020-10-16,7.7,"Charger","UK",2020,10,16
2020-10-16,17.8,"UsbCable","UK",2020,10,16
2020-10-16,12.6,"Keyboard","UK",2020,10,16
2020-10-16,6.1,"Mouse","UK",2020,10,16
2020-10-17,6.9,"Charger","France",2020,10,17
2020-10-17,8.8,"Charger","France",2020,10,17
2020-10-17,10.3,"UsbCable","France",2020,10,17
2020-10-17,3.7,"Mouse","UK",2020,10,17
2020-10-17,7.1,"Keyboard","France",2020,10,17
2020-10-17,6.3,"Keyboard","France",2020,10,17
2020-10-17,18.6,"UsbCable","UK",2020,10,17
2020-10-17,17.7,"Keyboard","France",2020,10,17
2020-10-17,5.9,"UsbCable","France",2020,10,17
2020-10-17,17.9,"UsbCable","UK",2020,10,17
2020-10-17,9.9,"Keyboard","UK",2020,10,17
2020-10-17,20,"Charger","France",2020,10,17
2020-10-17,18,"Keyboard","France",2020,10,17
2020-10-17,15.3,"Charger","France",2020,10,17
2020-10-17,19.6,"Mouse","France",2020,10,17
2020-10-17,12.2,"Keyboard","France",2020,10,17
2020-10-17,7.4,"Keyboard","France",2020,10,17
2020-10-17,17.7,"UsbCable","France",2020,10,17
2020-10-17,15.7,"Keyboard","UK",2020,10,17
2020-10-17,10,"Keyboard","UK",2020,10,17
2020-10-17,17.3,"Mouse","UK",2020,10,17
2020-10-17,19.8,"Mouse","UK",2020,10,17
2020-10-17,3.1,"UsbCable","France",2020,10,17
2020-10-17,9.6,"Mouse","UK",2020,10,17
2020-10-17,10.7,"Charger","France",2020,10,17
2020-10-17,3.1,"Mouse","UK",2020,10,17
2020-10-17,4.6,"UsbCable","France",2020,10,17
2020-10-17,5.1,"Charger","UK",2020,10,17
2020-10-17,2.5,"UsbCable","UK",2020,10,17
2020-10-17,19.8,"UsbCable","France",2020,10,17
2020-10-17,11.9,"Keyboard","France",2020,10,17
2020-10-17,3,"UsbCable","UK",2020,10,17
2020-10-17,10.7,"Mouse","France",2020,10,17
2020-10-17,6.6,"Mouse","UK",2020,10,17
2020-10-17,6.5,"Mouse","UK",2020,10,17
2020-10-17,10.9,"UsbCable","France",2020,10,17
2020-10-17,15.2,"Charger","France",2020,10,17
2020-10-17,9.9,"Charger","UK",2020,10,17
2020-10-17,16.8,"Keyboard","France",2020,10,17
2020-10-17,7.7,"Mouse","UK",2020,10,17
2020-10-17,17,"Mouse","UK",2020,10,17
2020-10-17,16,"Charger","France",2020,10,17
2020-10-17,9.9,"Charger","UK",2020,10,17
2020-10-17,2.4,"UsbCable","France",2020,10,17
2020-10-17,3.9,"Keyboard","France",2020,10,17
2020-10-17,12,"Mouse","UK",2020,10,17
2020-10-17,4.5,"Charger","UK",2020,10,17
2020-10-17,13.6,"Charger","UK",2020,10,17
2020-10-17,18.1,"UsbCable","UK",2020,10,17
2020-10-17,17.2,"Charger","France",2020,10,17
2020-10-17,15.6,"Charger","UK",2020,10,17
2020-10-17,10.2,"Charger","UK",2020,10,17
2020-10-17,18.8,"Mouse","UK",2020,10,17
2020-10-17,10.3,"Keyboard","UK",2020,10,17
2020-10-17,13.1,"Keyboard","France",2020,10,17
2020-10-17,15.6,"Charger","UK",2020,10,17
2020-10-17,3.6,"Keyboard","France",2020,10,17
2020-10-17,5,"Keyboard","UK",2020,10,17
2020-10-17,8.9,"Charger","France",2020,10,17
2020-10-17,3.4,"Keyboard","France",2020,10,17
2020-10-17,9.6,"Charger","UK",2020,10,17
2020-10-17,9.3,"Charger","France",2020,10,17
2020-10-17,11.3,"Charger","France",2020,10,17
2020-10-17,8.9,"UsbCable","UK",2020,10,17
2020-10-17,7.6,"Keyboard","UK",2020,10,17
2020-10-17,10.3,"Mouse","France",2020,10,17
2020-10-17,13.8,"UsbCable","France",2020,10,17
2020-10-17,2.6,"UsbCable","France",2020,10,17
2020-10-17,16.4,"UsbCable","UK",2020,10,17
2020-10-17,15.6,"UsbCable","France",2020,10,17
2020-10-17,13.5,"UsbCable","UK",2020,10,17
2020-10-17,2.4,"Keyboard","France",2020,10,17
2020-10-17,18.2,"Charger","France",2020,10,17
2020-10-17,5.6,"Mouse","France",2020,10,17
2020-10-17,17.1,"Charger","France",2020,10,17
2020-10-17,12.3,"Keyboard","France",2020,10,17
2020-10-17,2,"UsbCable","France",2020,10,17
2020-10-17,9.5,"UsbCable","UK",2020,10,17
2020-10-17,9.1,"UsbCable","UK",2020,10,17
2020-10-17,13.5,"UsbCable","UK",2020,10,17
2020-10-17,15.5,"Mouse","France",2020,10,17
2020-10-17,4.7,"Charger","UK",2020,10,17
