"Date","Sale_In_Local_Currency","Item","Country","Year","Month","Day"
"2021-02-06 04:06:49",19.3,"UsbCable","UK",2021,2,6
"2021-02-06 04:22:22",13.8,"Charger","France",2021,2,6
"2021-02-06 04:23:25",12.3,"Keyboard","UK",2021,2,6
"2021-02-06 04:35:41",13.2,"Charger","UK",2021,2,6
"2021-02-06 04:35:57",3.1,"Mouse","UK",2021,2,6
"2021-02-06 04:55:37",7.1,"Charger","US",2021,2,6
"2021-02-06 05:00:39",14.1,"Charger","France",2021,2,6
"2021-02-06 05:10:17",8.6,"Keyboard","UK",2021,2,6
"2021-02-06 05:11:59",3.6,"UsbCable","UK",2021,2,6
"2021-02-06 05:28:25",7.5,"Charger","Canada",2021,2,6
"2021-02-06 05:38:40",10.8,"Mouse","France",2021,2,6
"2021-02-06 05:40:14",12.9,"Charger","Canada",2021,2,6
"2021-02-06 05:47:43",18.5,"UsbCable","UK",2021,2,6
"2021-02-06 06:03:41",20,"UsbCable","US",2021,2,6
"2021-02-06 06:05:06",13.8,"Keyboard","Canada",2021,2,6
"2021-02-06 06:06:54",13.3,"Charger","Canada",2021,2,6
"2021-02-06 06:16:04",10,"Mouse","France",2021,2,6
"2021-02-06 06:24:05",6.2,"Mouse","US",2021,2,6
"2021-02-06 06:47:30",10.9,"Mouse","Canada",2021,2,6
"2021-02-06 07:08:52",15.9,"Charger","UK",2021,2,6
"2021-02-06 07:10:28",5.8,"Keyboard","France",2021,2,6
"2021-02-06 07:13:13",17.5,"UsbCable","UK",2021,2,6
"2021-02-06 07:14:20",4.3,"Keyboard","Canada",2021,2,6
"2021-02-06 07:41:16",7.4,"Mouse","US",2021,2,6
"2021-02-06 07:57:45",12.8,"Keyboard","UK",2021,2,6
"2021-02-06 08:23:20",9,"Charger","US",2021,2,6
"2021-02-06 08:26:49",17.8,"Charger","Canada",2021,2,6
"2021-02-06 08:45:52",17.9,"UsbCable","Canada",2021,2,6
"2021-02-06 08:49:03",4.8,"Keyboard","France",2021,2,6
"2021-02-06 09:09:12",3.2,"Charger","US",2021,2,6
"2021-02-06 09:16:29",9.6,"UsbCable","US",2021,2,6
"2021-02-06 09:20:55",8.9,"Mouse","Canada",2021,2,6
"2021-02-06 09:21:50",16.4,"Keyboard","UK",2021,2,6
"2021-02-06 09:29:46",18.6,"UsbCable","UK",2021,2,6
"2021-02-06 09:53:42",15.5,"Mouse","US",2021,2,6
"2021-02-06 10:29:22",15.4,"UsbCable","US",2021,2,6
"2021-02-06 10:38:41",13.3,"Mouse","Canada",2021,2,6
"2021-02-06 10:46:11",18.3,"Keyboard","Canada",2021,2,6
"2021-02-06 10:51:49",16.7,"Keyboard","UK",2021,2,6
"2021-02-06 10:59:14",3.5,"Charger","US",2021,2,6
"2021-02-06 11:10:16",12.8,"Mouse","Canada",2021,2,6
"2021-02-06 11:11:24",3.6,"Keyboard","France",2021,2,6
"2021-02-06 11:14:00",13.7,"Charger","Canada",2021,2,6
"2021-02-06 11:16:57",12.7,"Mouse","UK",2021,2,6
"2021-02-06 11:21:03",18.3,"Mouse","UK",2021,2,6
"2021-02-06 11:25:44",11.8,"Charger","France",2021,2,6
"2021-02-06 11:26:20",14.2,"UsbCable","US",2021,2,6
"2021-02-06 11:49:14",18.2,"UsbCable","Canada",2021,2,6
"2021-02-06 11:50:18",14.8,"UsbCable","US",2021,2,6
"2021-02-06 11:56:03",2.6,"Charger","UK",2021,2,6
"2021-02-06 12:05:36",4.7,"Mouse","US",2021,2,6
"2021-02-06 12:06:45",19.2,"Mouse","France",2021,2,6
"2021-02-06 12:10:28",8.4,"Mouse","Canada",2021,2,6
"2021-02-06 12:13:44",19,"Keyboard","UK",2021,2,6
"2021-02-06 12:13:51",10.9,"Charger","US",2021,2,6
"2021-02-06 12:17:09",7.4,"UsbCable","Canada",2021,2,6
"2021-02-06 12:31:15",11.8,"Charger","UK",2021,2,6
"2021-02-06 12:31:36",10.9,"UsbCable","Canada",2021,2,6
"2021-02-06 13:01:04",14.8,"Keyboard","Canada",2021,2,6
"2021-02-06 13:03:19",11.6,"UsbCable","France",2021,2,6
"2021-02-06 13:16:03",19.9,"Mouse","Canada",2021,2,6
"2021-02-06 13:21:03",19.8,"Mouse","Canada",2021,2,6
"2021-02-06 13:21:04",11.6,"Charger","France",2021,2,6
"2021-02-06 13:38:01",13.4,"Keyboard","US",2021,2,6
"2021-02-06 13:40:17",19.4,"UsbCable","France",2021,2,6
"2021-02-06 13:46:30",14.3,"UsbCable","UK",2021,2,6
"2021-02-06 14:13:20",3.1,"UsbCable","Canada",2021,2,6
"2021-02-06 14:16:34",9.7,"Keyboard","UK",2021,2,6
"2021-02-06 14:26:23",14.9,"UsbCable","UK",2021,2,6
"2021-02-06 14:31:48",9.5,"Mouse","UK",2021,2,6
"2021-02-06 14:50:42",15.5,"Mouse","US",2021,2,6
"2021-02-06 15:02:19",2.7,"Keyboard","US",2021,2,6
"2021-02-06 15:21:48",12.9,"Keyboard","UK",2021,2,6
"2021-02-06 15:30:24",9.3,"Mouse","US",2021,2,6
"2021-02-06 15:33:05",3.9,"UsbCable","US",2021,2,6
"2021-02-06 15:38:45",18.7,"Keyboard","UK",2021,2,6
"2021-02-06 16:09:09",10.6,"Charger","Canada",2021,2,6
"2021-02-06 16:12:45",8.8,"Mouse","UK",2021,2,6
"2021-02-06 16:14:25",18,"Charger","France",2021,2,6
"2021-02-06 16:19:14",14,"Mouse","Canada",2021,2,6
"2021-02-06 16:22:21",11.3,"UsbCable","UK",2021,2,6
"2021-02-06 16:42:17",12.6,"Keyboard","UK",2021,2,6
"2021-02-06 16:49:19",3.9,"Keyboard","US",2021,2,6
"2021-02-06 16:49:36",18.1,"Keyboard","Canada",2021,2,6
"2021-02-06 16:50:00",12.3,"Charger","France",2021,2,6
"2021-02-06 17:08:16",8.5,"Mouse","US",2021,2,6
"2021-02-06 17:09:11",4.3,"Keyboard","Canada",2021,2,6
"2021-02-06 17:11:07",6.2,"Keyboard","US",2021,2,6
"2021-02-06 17:21:27",16.7,"Mouse","US",2021,2,6
"2021-02-06 17:22:30",10,"Keyboard","France",2021,2,6
"2021-02-06 17:29:12",15.7,"Charger","US",2021,2,6
"2021-02-06 17:57:24",12.8,"Keyboard","France",2021,2,6
"2021-02-06 18:03:33",16.9,"Keyboard","US",2021,2,6
"2021-02-06 18:04:35",9.7,"UsbCable","Canada",2021,2,6
"2021-02-06 18:11:05",5.4,"Keyboard","UK",2021,2,6
"2021-02-06 18:13:48",19.8,"Mouse","US",2021,2,6
"2021-02-06 18:19:12",12,"Keyboard","Canada",2021,2,6
"2021-02-06 18:31:44",13.9,"Charger","Canada",2021,2,6
"2021-02-06 18:34:43",13.3,"Charger","US",2021,2,6
"2021-02-06 18:35:46",15.2,"Mouse","France",2021,2,6
"2021-02-06 18:36:14",14,"Charger","US",2021,2,6
"2021-02-06 18:37:15",17.5,"Keyboard","Canada",2021,2,6
"2021-02-06 18:39:55",16.3,"Mouse","Canada",2021,2,6
"2021-02-06 18:41:44",8.6,"Keyboard","UK",2021,2,6
"2021-02-06 18:43:25",13.3,"Keyboard","France",2021,2,6
"2021-02-06 19:16:39",10.8,"Mouse","US",2021,2,6
"2021-02-06 19:21:21",9.4,"Keyboard","UK",2021,2,6
"2021-02-06 19:23:09",9,"Mouse","UK",2021,2,6
"2021-02-06 19:29:39",18.9,"Charger","Canada",2021,2,6
"2021-02-06 19:35:44",8.7,"Charger","US",2021,2,6
"2021-02-06 19:44:58",18.2,"Charger","US",2021,2,6
"2021-02-06 19:51:13",5.7,"Charger","Canada",2021,2,6
"2021-02-06 20:00:02",13.2,"Mouse","France",2021,2,6
"2021-02-06 20:28:27",9.9,"UsbCable","France",2021,2,6
"2021-02-06 20:29:46",6.5,"Keyboard","France",2021,2,6
"2021-02-06 20:30:08",13.7,"Keyboard","UK",2021,2,6
