"Date","Sale_In_Local_Currency","Item","Country","Year","Month","Day"
"2020-10-25 04:00:37",19.4,"Mouse","UK",2020,10,25
"2020-10-25 04:01:13",13.4,"UsbCable","UK",2020,10,25
"2020-10-25 04:09:06",10.6,"UsbCable","UK",2020,10,25
"2020-10-25 04:24:00",13.7,"Mouse","US",2020,10,25
"2020-10-25 04:31:49",13,"Charger","UK",2020,10,25
"2020-10-25 04:52:18",7.2,"Mouse","UK",2020,10,25
"2020-10-25 04:59:15",4.4,"Keyboard","Canada",2020,10,25
"2020-10-25 05:14:51",13.3,"UsbCable","Canada",2020,10,25
"2020-10-25 05:25:06",19.1,"UsbCable","France",2020,10,25
"2020-10-25 05:43:49",4.5,"Keyboard","Canada",2020,10,25
"2020-10-25 06:03:11",16,"Mouse","US",2020,10,25
"2020-10-25 06:08:39",17.3,"UsbCable","France",2020,10,25
"2020-10-25 06:12:04",14.9,"Charger","France",2020,10,25
"2020-10-25 06:14:11",7.1,"Keyboard","Canada",2020,10,25
"2020-10-25 06:16:40",19.1,"Mouse","Canada",2020,10,25
"2020-10-25 06:17:02",8.1,"Keyboard","US",2020,10,25
"2020-10-25 06:28:49",18.8,"Mouse","UK",2020,10,25
"2020-10-25 06:29:45",5.5,"Mouse","US",2020,10,25
"2020-10-25 06:35:14",12.9,"Keyboard","France",2020,10,25
"2020-10-25 06:35:45",18.3,"Charger","France",2020,10,25
"2020-10-25 06:50:40",8.9,"Keyboard","Canada",2020,10,25
"2020-10-25 06:57:27",8.6,"UsbCable","UK",2020,10,25
"2020-10-25 07:02:19",4.7,"Mouse","Canada",2020,10,25
"2020-10-25 07:05:11",4.7,"Mouse","UK",2020,10,25
"2020-10-25 07:06:51",3.6,"UsbCable","UK",2020,10,25
"2020-10-25 07:08:28",17.7,"Keyboard","Canada",2020,10,25
"2020-10-25 07:14:21",13.2,"Keyboard","Canada",2020,10,25
"2020-10-25 07:44:08",16.8,"UsbCable","Canada",2020,10,25
"2020-10-25 08:28:16",11.9,"Mouse","France",2020,10,25
"2020-10-25 08:47:11",2.3,"Mouse","France",2020,10,25
"2020-10-25 08:51:25",6.8,"Keyboard","US",2020,10,25
"2020-10-25 08:57:42",3.3,"Mouse","UK",2020,10,25
"2020-10-25 09:01:16",9.5,"Mouse","France",2020,10,25
"2020-10-25 09:03:49",5.1,"UsbCable","US",2020,10,25
"2020-10-25 09:08:34",10.4,"UsbCable","UK",2020,10,25
"2020-10-25 09:09:00",16.7,"Keyboard","UK",2020,10,25
"2020-10-25 09:09:50",7.2,"Charger","Canada",2020,10,25
"2020-10-25 09:12:05",11.4,"Keyboard","UK",2020,10,25
"2020-10-25 09:22:57",2.6,"Mouse","US",2020,10,25
"2020-10-25 09:24:56",18.3,"Mouse","US",2020,10,25
"2020-10-25 09:32:19",6.9,"UsbCable","US",2020,10,25
"2020-10-25 09:36:36",5.1,"UsbCable","Canada",2020,10,25
"2020-10-25 09:42:53",6.1,"Keyboard","Canada",2020,10,25
"2020-10-25 09:43:42",2.4,"UsbCable","France",2020,10,25
"2020-10-25 09:44:45",8.1,"UsbCable","France",2020,10,25
"2020-10-25 09:47:20",6.4,"Charger","Canada",2020,10,25
"2020-10-25 10:06:11",3.9,"Charger","Canada",2020,10,25
"2020-10-25 10:06:46",8.5,"Keyboard","Canada",2020,10,25
"2020-10-25 10:08:34",11.3,"Keyboard","UK",2020,10,25
"2020-10-25 10:12:02",4.2,"Mouse","US",2020,10,25
"2020-10-25 10:15:55",14.9,"UsbCable","UK",2020,10,25
"2020-10-25 10:34:03",2.9,"Charger","France",2020,10,25
"2020-10-25 10:41:37",15.4,"Charger","UK",2020,10,25
"2020-10-25 10:44:49",13.1,"UsbCable","France",2020,10,25
"2020-10-25 10:48:29",11.3,"Mouse","France",2020,10,25
"2020-10-25 10:51:02",9.4,"Keyboard","UK",2020,10,25
"2020-10-25 11:07:43",10.6,"Mouse","US",2020,10,25
"2020-10-25 11:12:46",18,"Charger","UK",2020,10,25
"2020-10-25 11:14:59",13.2,"UsbCable","UK",2020,10,25
"2020-10-25 11:20:50",3.9,"Charger","Canada",2020,10,25
"2020-10-25 11:26:00",3.9,"UsbCable","US",2020,10,25
"2020-10-25 11:39:46",17.3,"Keyboard","US",2020,10,25
"2020-10-25 11:45:23",8.1,"Charger","US",2020,10,25
"2020-10-25 11:49:44",7.4,"Mouse","France",2020,10,25
"2020-10-25 11:50:22",13.6,"Charger","US",2020,10,25
"2020-10-25 12:02:56",14.3,"Charger","UK",2020,10,25
"2020-10-25 12:03:31",17.4,"UsbCable","US",2020,10,25
"2020-10-25 12:06:55",4.9,"Mouse","UK",2020,10,25
"2020-10-25 12:14:36",3.8,"UsbCable","UK",2020,10,25
"2020-10-25 12:16:47",5,"Charger","UK",2020,10,25
"2020-10-25 12:21:01",14.8,"Keyboard","Canada",2020,10,25
"2020-10-25 12:30:45",7.4,"Keyboard","France",2020,10,25
"2020-10-25 12:45:11",4.3,"UsbCable","France",2020,10,25
"2020-10-25 12:55:35",4.1,"Charger","UK",2020,10,25
"2020-10-25 13:10:44",6.8,"Keyboard","Canada",2020,10,25
"2020-10-25 13:20:28",10.6,"Charger","UK",2020,10,25
"2020-10-25 13:29:13",3,"Charger","UK",2020,10,25
"2020-10-25 13:36:01",7.4,"UsbCable","US",2020,10,25
"2020-10-25 13:36:50",18,"Mouse","Canada",2020,10,25
"2020-10-25 14:14:55",5.8,"Keyboard","Canada",2020,10,25
"2020-10-25 14:18:21",8.8,"Mouse","France",2020,10,25
"2020-10-25 14:26:30",18.7,"UsbCable","France",2020,10,25
"2020-10-25 14:30:41",7.9,"Keyboard","Canada",2020,10,25
"2020-10-25 14:37:56",7,"UsbCable","US",2020,10,25
"2020-10-25 14:46:08",13.5,"UsbCable","UK",2020,10,25
"2020-10-25 14:55:02",18.5,"Charger","US",2020,10,25
"2020-10-25 14:59:18",14.2,"Mouse","UK",2020,10,25
"2020-10-25 15:05:14",12.7,"Charger","US",2020,10,25
"2020-10-25 15:12:30",19.5,"Charger","France",2020,10,25
"2020-10-25 15:18:19",6.4,"Keyboard","US",2020,10,25
"2020-10-25 15:24:54",17.1,"Mouse","Canada",2020,10,25
"2020-10-25 15:29:56",9.6,"Mouse","France",2020,10,25
"2020-10-25 15:30:17",11.4,"Mouse","UK",2020,10,25
"2020-10-25 15:39:09",10.2,"Keyboard","Canada",2020,10,25
"2020-10-25 15:48:10",16.7,"UsbCable","US",2020,10,25
"2020-10-25 15:52:18",8,"UsbCable","UK",2020,10,25
"2020-10-25 15:53:57",5.6,"UsbCable","Canada",2020,10,25
"2020-10-25 15:53:59",9.7,"Mouse","UK",2020,10,25
"2020-10-25 16:03:34",6.9,"Keyboard","UK",2020,10,25
"2020-10-25 16:08:45",6.2,"Mouse","UK",2020,10,25
"2020-10-25 16:20:50",14.7,"Keyboard","Canada",2020,10,25
"2020-10-25 16:22:18",14.7,"Keyboard","US",2020,10,25
"2020-10-25 16:29:50",19.9,"Mouse","UK",2020,10,25
"2020-10-25 16:33:46",13.6,"Keyboard","US",2020,10,25
"2020-10-25 16:41:16",13,"Charger","France",2020,10,25
"2020-10-25 16:46:25",8.3,"UsbCable","Canada",2020,10,25
"2020-10-25 16:51:38",9.8,"Keyboard","US",2020,10,25
"2020-10-25 17:00:20",16,"UsbCable","US",2020,10,25
"2020-10-25 17:07:27",19.6,"Keyboard","US",2020,10,25
"2020-10-25 17:07:50",13,"Keyboard","US",2020,10,25
"2020-10-25 17:09:58",4.4,"Mouse","France",2020,10,25
"2020-10-25 17:10:22",10.9,"Mouse","France",2020,10,25
"2020-10-25 17:12:22",5.1,"Mouse","Canada",2020,10,25
"2020-10-25 17:21:18",9,"Charger","UK",2020,10,25
"2020-10-25 17:51:07",8.3,"UsbCable","Canada",2020,10,25
"2020-10-25 17:57:50",9.8,"Charger","Canada",2020,10,25
"2020-10-25 18:03:53",15,"Charger","Canada",2020,10,25
"2020-10-25 18:08:31",15.5,"UsbCable","Canada",2020,10,25
"2020-10-25 18:08:37",13.5,"Mouse","US",2020,10,25
"2020-10-25 18:21:10",4.5,"Keyboard","UK",2020,10,25
"2020-10-25 18:21:20",3.9,"UsbCable","UK",2020,10,25
"2020-10-25 18:23:15",13.3,"UsbCable","UK",2020,10,25
"2020-10-25 18:47:43",8.6,"Charger","US",2020,10,25
"2020-10-25 19:03:40",8.5,"Charger","France",2020,10,25
"2020-10-25 19:04:11",16.5,"UsbCable","US",2020,10,25
"2020-10-25 19:16:31",13.1,"UsbCable","Canada",2020,10,25
"2020-10-25 19:17:31",7.3,"Charger","Canada",2020,10,25
"2020-10-25 19:20:24",15.1,"Charger","US",2020,10,25
"2020-10-25 19:21:49",9.8,"Charger","US",2020,10,25
"2020-10-25 19:27:13",18.8,"Keyboard","France",2020,10,25
"2020-10-25 19:39:04",3.6,"UsbCable","UK",2020,10,25
"2020-10-25 20:06:54",7.7,"Keyboard","UK",2020,10,25
"2020-10-25 20:17:47",11.9,"UsbCable","France",2020,10,25
"2020-10-25 20:18:10",10.3,"Mouse","France",2020,10,25
"2020-10-25 20:24:47",19.5,"Mouse","France",2020,10,25
"2020-10-25 20:32:32",19.4,"Charger","UK",2020,10,25
"2020-10-25 20:35:03",2.4,"Mouse","US",2020,10,25
